book_id,author,original_publication_year,title,language_code,image_url,small_image_url,active
1,Suzanne Collins,2008,The Hunger Games,eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,1
2,J.K. Rowling,1997,Harry Potter and the Sorcerer's Stone,eng,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,1
3,Stephenie Meyer,2005,Twilight,en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,1
4,Harper Lee,1960,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,1
5,F. Scott Fitzgerald,1925,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,1
6,John Green,2012,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,1
7,J.R.R. Tolkien,1937,The Hobbit,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,1
8,J.D. Salinger,1951,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,1
9,Dan Brown,2000,Angels & Demons,en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,1
10,Jane Austen,1813,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,1
11,Khaled Hosseini,2003,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,1
12,Veronica Roth,2011,Divergent,eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,1
13,George Orwell,1949,1984,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,1
14,George Orwell,1945,Animal Farm,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,1
15,Anne Frank,1947,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,1
16,Stieg Larsson,2005,The Girl with the Dragon Tattoo,eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,1
17,Suzanne Collins,2009,Catching Fire,eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,1
18,J.K. Rowling,1999,Harry Potter and the Prisoner of Azkaban,eng,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,1
19,J.R.R. Tolkien,1954,The Fellowship of the Ring,eng,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,1
20,Suzanne Collins,2010,Mockingjay,eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,1
21,J.K. Rowling,2003,Harry Potter and the Order of the Phoenix,eng,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,1
22,Alice Sebold,2002,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,1
23,J.K. Rowling,1998,Harry Potter and the Chamber of Secrets,eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,1
24,J.K. Rowling,2000,Harry Potter and the Goblet of Fire,eng,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,1
25,J.K. Rowling,2007,Harry Potter and the Deathly Hallows ,eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,1
26,Dan Brown,2003,The Da Vinci Code ,eng,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,1
27,J.K. Rowling,2005,Harry Potter and the Half-Blood Prince ,eng,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,1
28,William Golding,1954,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,1
29,William Shakespeare,1595,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,1
30,Gillian Flynn,2012,Gone Girl,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,1
31,Kathryn Stockett,2009,The Help,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,1
32,John Steinbeck,1937,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,1
33,Arthur Golden,1997,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1
34,E.L. James,2011,Fifty Shades of Grey ,eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,1
35,Paulo Coelho,1988,The Alchemist,eng,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,1
36,Lois Lowry,1993,The Giver,eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,1
37,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe ",eng,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,1
38,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,1
39,George R.R. Martin,1996,A Game of Thrones,eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,1
40,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,1
41,Rick Riordan,2005,The Lightning Thief,eng,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,1
42,Louisa May Alcott,1868,Little Women,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1
43,Charlotte Brontë,1847,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,1
44,Nicholas Sparks,1996,The Notebook ,eng,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,1
45,Yann Martel,2001,Life of Pi,,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,1
46,Sara Gruen,2006,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,1
47,Markus Zusak,2005,The Book Thief,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,1
48,Ray Bradbury,1953,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,1
49,Stephenie Meyer,2006,New Moon,eng,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,1
50,Shel Silverstein,1974,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,1
51,Cassandra Clare,2007,City of Bones ,eng,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,1
52,Stephenie Meyer,2007,Eclipse ,en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg,1
53,Christopher Paolini,2002,Eragon ,en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg,1
54,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy ,en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg,1
55,Aldous Huxley,1932,Brave New World,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg,1
56,Stephenie Meyer,2008,Breaking Dawn ,en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg,1
57,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,1
58,Mark Twain,1884,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,1
59,E.B. White,1952,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg,1
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg,1
61,Paula Hawkins,2015,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg,1
62,Philip Pullman,1995,The Golden Compass,eng,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,1
63,Emily Brontë,1847,Wuthering Heights,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1
64,Jodi Picoult,2004,My Sister's Keeper,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,1
65,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,1
66,Margaret Mitchell,1936,Gone with the Wind,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,1
67,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,1
68,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg,1
69,Veronica Roth,2012,Insurgent ,eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg,1
70,Orson Scott Card,1985,Ender's Game ,eng,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg,1
71,Mary Wollstonecraft Shelley,1818,Frankenstein,eng,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,1
72,Stephen King,1977,The Shining ,eng,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,1
73,Stephenie Meyer,2008,The Host ,en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg,1
74,John Green,2005,Looking for Alaska,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg,1
75,Helen Fielding,1996,Bridget Jones's Diary ,eng,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg,1
76,Jane Austen,1811,Sense and Sensibility,eng,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg,1
77,Louis Sacha,1998,Holes ,eng,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,1
78,Lauren Weisberger,2003,The Devil Wears Prada ,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1
79,Homer,-720,The Odyssey,eng,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,1
